pair_index,puzzle,status,dpll_calls,num_vars,num_clauses,time_sec
1,A,SAT,1048,729,12850,2.257810
1,B,SAT,908,729,12850,1.914625
2,A,SAT,22550,729,12850,41.851630
2,B,SAT,391,729,12850,0.832487
3,A,SAT,1,729,12850,0.274350
3,B,SAT,149,729,12850,0.421490
4,A,SAT,833,729,12850,1.605213
4,B,SAT,774,729,12850,1.594670
5,A,SAT,154,729,12850,0.543101
5,B,SAT,3614,729,12850,6.933517
6,A,SAT,1,729,12850,0.272420
6,B,SAT,45,729,12850,0.420676
7,A,SAT,8671,729,12850,18.079476
7,B,SAT,67,729,12850,0.332952
8,A,SAT,203,729,12850,0.590551
8,B,SAT,1,729,12850,0.290213
9,A,SAT,2131,729,12850,4.390137
9,B,SAT,3903,729,12850,8.111127
10,A,SAT,30333,729,12850,61.250061
10,B,SAT,106,729,12850,0.447378
11,A,SAT,390,729,12850,0.992392
11,B,SAT,189,729,12850,0.611641
12,A,SAT,986,729,12850,2.628592
12,B,SAT,1572,729,12850,3.265750
13,A,SAT,71,729,12850,0.339051
13,B,SAT,1886,729,12850,4.094149
14,A,SAT,1022,729,12850,2.147870
14,B,SAT,584,729,12850,1.270609
15,A,SAT,2106,729,12850,4.447522
15,B,SAT,2299,729,12850,4.699029
16,A,SAT,98,729,12850,0.521589
16,B,SAT,7190,729,12850,16.076732
17,A,SAT,1,729,12850,0.284689
17,B,SAT,546,729,12850,1.131877
18,A,SAT,234,729,12850,0.721279
18,B,SAT,10345,729,12850,20.302758
19,A,SAT,14,729,12850,0.286022
19,B,SAT,164,729,12850,0.466217
20,A,SAT,20,729,12850,0.306533
20,B,SAT,126,729,12850,0.560089
