pair_index,puzzle,status,dpll_calls,num_vars,num_clauses,time_sec
1,A,SAT,238,729,12850,0.764273
1,B,SAT,4371,729,12850,9.448391
2,A,SAT,12208,729,12850,24.959706
2,B,SAT,11527,729,12850,26.839227
3,A,SAT,1,729,12850,0.325807
3,B,SAT,2,729,12851,0.309205
4,A,SAT,6341,729,12850,12.906717
4,B,SAT,1,729,12854,0.284762
5,A,SAT,643,729,12850,1.841538
5,B,SAT,63,729,12851,0.388063
6,A,SAT,73,729,12850,0.499662
6,B,SAT,2116,729,12850,4.520511
7,A,SAT,658,729,12850,1.366812
7,B,SAT,1,729,12853,0.280604
8,A,SAT,878,729,12850,1.990893
8,B,SAT,60771,729,12847,130.760391
9,A,SAT,73136,729,12850,161.324908
9,B,SAT,2,729,12851,0.281596
10,A,SAT,3794,729,12850,8.110597
10,B,SAT,608,729,12852,1.493238
11,A,SAT,21,729,12850,0.299008
11,B,SAT,1,729,12853,0.283107
12,A,SAT,190,729,12850,0.634000
12,B,SAT,2,729,12852,0.286917
13,A,SAT,1,729,12850,0.275553
13,B,SAT,1,729,12851,0.270493
14,A,SAT,145,729,12850,0.503498
14,B,SAT,1,729,12856,0.321686
15,A,SAT,529,729,12850,1.641703
15,B,SAT,98073,729,12847,235.128946
16,A,SAT,6660,729,12850,20.254252
16,B,SAT,23105,729,12848,76.204328
17,A,SAT,2986,729,12850,7.151485
17,B,SAT,123,729,12852,0.715767
18,A,SAT,2,729,12850,0.505648
18,B,SAT,4189,729,12848,12.833798
19,A,SAT,136,729,12850,0.773087
19,B,SAT,5590,729,12847,16.235535
20,A,SAT,1,729,12850,0.505350
20,B,SAT,13342,729,12849,43.140495
