pair_index,puzzle,status,dpll_calls,num_vars,num_clauses,time_sec
1,A,SAT,3554,729,12850,6.097394
1,B,SAT,1,729,12855,0.274597
2,A,SAT,217,729,12850,0.608074
2,B,UNSAT,100000,729,12844,220.561665
3,A,SAT,302,729,12850,0.780023
3,B,SAT,45,729,12850,0.323675
4,A,SAT,2,729,12850,0.273436
4,B,SAT,313,729,12849,0.912485
5,A,SAT,81,729,12850,0.356649
5,B,SAT,1,729,12850,0.280540
6,A,SAT,151,729,12850,0.417429
6,B,SAT,3,729,12854,0.280718
7,A,SAT,982,729,12850,1.841296
7,B,SAT,691,729,12848,1.487452
8,A,SAT,8828,729,12850,18.615095
8,B,UNSAT,100000,729,12846,226.085132
9,A,SAT,2687,729,12850,6.029842
9,B,SAT,222,729,12853,0.651596
10,A,SAT,1,729,12850,0.362590
10,B,UNSAT,100000,729,12846,237.010169
11,A,SAT,1883,729,12850,4.161821
11,B,SAT,145,729,12851,0.482281
12,A,SAT,1072,729,12850,2.419726
12,B,SAT,1,729,12854,0.287433
13,A,SAT,1405,729,12850,3.585198
13,B,SAT,63,729,12849,0.317248
14,A,SAT,243,729,12850,0.520998
14,B,SAT,26278,729,12846,56.521133
15,A,SAT,2,729,12850,0.276167
15,B,SAT,831,729,12849,1.619246
16,A,SAT,1,729,12850,0.268663
16,B,SAT,64,729,12851,0.334225
17,A,SAT,110,729,12850,0.414449
17,B,SAT,7,729,12855,0.276448
18,A,SAT,70,729,12850,0.324902
18,B,SAT,5,729,12852,0.285199
19,A,SAT,1,729,12850,0.281527
19,B,SAT,61,729,12852,0.309778
20,A,SAT,9721,729,12850,19.190169
20,B,SAT,2,729,12854,0.273019
